"","player","nationality","position","squad","age","league","goals","Season"
"1652","Luca Mazzitelli","it ITA","MF","Sassuolo",21,"Serie A",0,"201718#"
"1653","Kévin Rodrigues","pt POR","DF","Real Sociedad",23,"La Liga",1,"201718#"
"1654","Carlos Vela","mx MEX","FW,MF","Real Sociedad",28,"La Liga",1,"201718#"
"1655","Igor Zubeldia","es ESP","MF","Real Sociedad",20,"La Liga",1,"201718#"
"1656","Álvaro Medrán","es ESP","MF","Valencia",23,"La Liga",0,"201718#"
"1657","Morgan Amalfitano","fr FRA","MF","Rennes",32,"Ligue 1",0,"201718#"
"1658","Mehdi Abeid","dz ALG","MF","Dijon",24,"Ligue 1",0,"201718#"
"1659","Ludovic Baal","gf GUF","DF","Rennes",31,"Ligue 1",0,"201718#"
"1660","Ramy Bensebaini","dz ALG","DF","Rennes",22,"Ligue 1",0,"201718#"
"1661","Nicolas Haas","ch SUI","MF","Atalanta",21,"Serie A",0,"201718#"
"1662","Brandon","es ESP","MF,FW","Rennes",22,"Ligue 1",1,"201718#"
"1663","Romain Danzé","fr FRA","DF","Rennes",31,"Ligue 1",0,"201718#"
"1664","Abdoulaye Diallo","sn SEN","GK","Rennes",25,"Ligue 1",0,"201718#"
"1665","Afonso Figueiredo","pt POR","DF,FW","Rennes",24,"Ligue 1",0,"201718#"
"1666","Marco Friedl","at AUT","DF","Werder Bremen",19,"Bundesliga",0,"201718#"
"1667","Sebastien De Maio","fr FRA","DF","Bologna",30,"Serie A",2,"201718#"
"1668","Yoann Gourcuff","fr FRA","MF,FW","Rennes",31,"Ligue 1",1,"201718#"
"1669","Adrien Hunou","fr FRA","FW,MF","Rennes",23,"Ligue 1",5,"201718#"
"1670","Mikel Rico","es ESP","MF","Athletic Club",32,"La Liga",0,"201718#"
"1671","Wahbi Khazri","tn TUN","FW,MF","Rennes",26,"Ligue 1",9,"201718#"
"1672","Raïs M'Bolhi","dz ALG","GK","Rennes",31,"Ligue 1",0,"201718#"
"1673","Faitout Maouassa","fr FRA","MF,FW","Rennes",19,"Ligue 1",0,"201718#"
"1674","Giancarlo González","cr CRC","DF","Bologna",29,"Serie A",0,"201718#"
"1675","Luca Rossettini","it ITA","DF","Genoa",32,"Serie A",0,"201718#"
"1676","Diafra Sakho","sn SEN","FW","Rennes",27,"Ligue 1",2,"201718#"
"1677","Jordan Tell","fr FRA","FW,DF","Rennes",20,"Ligue 1",1,"201718#"
"1678","Hamari Traoré","ml MLI","DF","Rennes",25,"Ligue 1",0,"201718#"
"1679","Mehdi Zeffane","dz ALG","DF,FW","Rennes",25,"Ligue 1",0,"201718#"
"1680","Alisson","br BRA","GK","Roma",24,"Serie A",0,"201718#"
"1681","Mirko Antonucci","it ITA","FW","Roma",18,"Serie A",0,"201718#"
"1682","Bartosz Salamon","pl POL","DF","SPAL",26,"Serie A",0,"201718#"
"1683","Daniele De Rossi","it ITA","MF","Roma",34,"Serie A",1,"201718#"
"1684","Grégoire Defrel","mq MTQ","FW,MF","Roma",26,"Serie A",1,"201718#"
"1685","Ádám Lang","hu HUN","DF","Dijon",24,"Ligue 1",0,"201718#"
"1686","Alessandro Florenzi","it ITA","DF","Roma",26,"Serie A",1,"201718#"
"1687","Raman Chibsah","gh GHA","MF","Benevento",24,"Serie A",0,"201718#"
"1688","Maxime Gonalons","fr FRA","MF","Roma",28,"Serie A",0,"201718#"
"1689","Marco Andreolli","it ITA","DF","Cagliari",31,"Serie A",0,"201718#"
"1690","Rick Karsdorp","nl NED","DF","Roma",22,"Serie A",0,"201718#"
"1691","Aleksandar Kolarov","rs SRB","DF","Roma",31,"Serie A",2,"201718#"
"1692","David Lombán","es ESP","DF","Eibar",30,"La Liga",1,"201718#"
"1693","Radja Nainggolan","be BEL","MF","Roma",29,"Serie A",4,"201718#"
"1694","Beram Kayal","il ISR","MF","Brighton",29,"Premier League",0,"201718#"
"1695","Bruno Peres","br BRA","DF","Roma",27,"Serie A",0,"201718#"
"1696","Diego Perotti","ar ARG","FW,MF","Roma",29,"Serie A",5,"201718#"
"1697","Patrik Schick","cz CZE","FW","Roma",21,"Serie A",2,"201718#"
"1698","Stephan El Shaarawy","it ITA","FW","Roma",24,"Serie A",7,"201718#"
"1699","Jonathan Silva","ar ARG","DF","Roma",23,"Serie A",0,"201718#"
"1700","Marcus Rohdén","se SWE","MF","Crotone",26,"Serie A",2,"201718#"
"1701","Marco Tumminello","it ITA","FW","Roma",18,"Serie A",0,"201718#"
"1702","Cengiz Ünder","tr TUR","FW","Roma",20,"Serie A",7,"201718#"
"1703","Jonathan Bamba","fr FRA","FW,MF","Saint-Étienne",21,"Ligue 1",7,"201718#"
"1704","Rémy Cabella","fr FRA","MF,FW","Saint-Étienne",27,"Ligue 1",7,"201718#"
"1705","Esteban Granero","es ESP","MF,FW","Espanyol",30,"La Liga",1,"201718#"
"1706","Mathieu Debuchy","fr FRA","DF","Saint-Étienne",32,"Ligue 1",4,"201718#"
"1707","Assane Dioussé","sn SEN","MF","Saint-Étienne",19,"Ligue 1",1,"201718#"
"1708","Romain Hamouma","fr FRA","FW,MF","Saint-Étienne",30,"Ligue 1",5,"201718#"
"1709","Hernani","br BRA","MF,FW","Saint-Étienne",23,"Ligue 1",3,"201718#"
