"","player","nationality","position","squad","age","league","goals","Season"
"1884","Stephen Ireland","ie IRL","MF","Stoke City",30,"Premier League",0,"201718#"
"1885","Jesé","es ESP","FW,MF","Stoke City",24,"Premier League",1,"201718#"
"1886","Glen Johnson","eng ENG","DF","Stoke City",32,"Premier League",0,"201718#"
"1887","Luca Caldirola","it ITA","DF","Werder Bremen",26,"Bundesliga",0,"201718#"
"1888","Eric Maxim Choupo-Moting","cm CMR","FW,MF","Stoke City",28,"Premier League",5,"201718#"
"1889","Cafú","pt POR","MF","Metz",24,"Ligue 1",0,"201718#"
"1890","Julien Ngoy","be BEL","FW,MF","Stoke City",19,"Premier League",0,"201718#"
"1891","Erik Pieters","nl NED","DF,MF","Stoke City",28,"Premier League",0,"201718#"
"1892","Xherdan Shaqiri","ch SUI","FW,MF","Stoke City",25,"Premier League",8,"201718#"
"1893","Gareth McAuley","nir NIR","DF","West Brom",37,"Premier League",0,"201718#"
"1894","Ramadan Sobhi","eg EGY","MF,FW","Stoke City",20,"Premier League",2,"201718#"
"1895","Josh Tymon","eng ENG","DF","Stoke City",18,"Premier League",0,"201718#"
"1896","James Collins","wal WAL","DF","West Ham",33,"Premier League",1,"201718#"
"1897","Jean-Claude Billong","fr FRA","DF","Benevento",23,"Serie A",0,"201718#"
"1898","Jean-Eudes Aholou","ci CIV","MF","Strasbourg",23,"Ligue 1",5,"201718#"
"1899","Stéphane Bahoken","cm CMR","FW","Strasbourg",25,"Ligue 1",7,"201718#"
"1900","Jérémy Blayac","fr FRA","FW,MF","Strasbourg",34,"Ligue 1",3,"201718#"
"1901","Landry Bonnefoi","fr FRA","GK","Strasbourg",33,"Ligue 1",0,"201718#"
"1902","Benjamin Corgnet","fr FRA","MF,FW","Strasbourg",30,"Ligue 1",0,"201718#"
"1903","Nuno da Costa","cv CPV","FW,MF","Strasbourg",26,"Ligue 1",5,"201718#"
"1904","Dimitri Foulquier","fr FRA","DF","Strasbourg",24,"Ligue 1",0,"201718#"
"1905","Renaud Cohade","fr FRA","MF","Metz",32,"Ligue 1",1,"201718#"
"1906","Jérémy Grimm","fr FRA","MF","Strasbourg",30,"Ligue 1",1,"201718#"
"1907","Bingourou Kamara","sn SEN","GK","Strasbourg",20,"Ligue 1",0,"201718#"
"1908","Jawad El Yamiq","ma MAR","DF","Genoa",25,"Serie A",0,"201718#"
"1909","Kenny Lala","fr FRA","DF","Strasbourg",25,"Ligue 1",3,"201718#"
"1910","Édgar Barreto","py PAR","MF","Sampdoria",33,"Serie A",1,"201718#"
"1911","Luca Antei","it ITA","DF","Benevento",25,"Serie A",0,"201718#"
"1912","Leon Britton","eng ENG","MF","Swansea City",34,"Premier League",0,"201718#"
"1913","Pedro Alcalá","es ESP","DF","Girona",28,"La Liga",1,"201718#"
"1914","Tristan Dingomé","cm CMR","MF","Troyes",26,"Ligue 1",0,"201718#"
"1915","Alexandre Oukidja","dz ALG","GK","Strasbourg",29,"Ligue 1",0,"201718#"
"1916","Idriss Saadi","dz ALG","FW","Strasbourg",25,"Ligue 1",4,"201718#"
"1917","Ihsan Sacko","fr FRA","FW,MF","Strasbourg",20,"Ligue 1",0,"201718#"
"1918","Matteo Bianchetti","it ITA","DF","Hellas Verona",24,"Serie A",0,"201718#"
"1919","Antonio Caracciolo","it ITA","DF","Hellas Verona",27,"Serie A",2,"201718#"
"1920","Martin Terrier","fr FRA","FW,MF","Strasbourg",20,"Ligue 1",3,"201718#"
"1921","Josip Brekalo","hr CRO","MF,FW","Stuttgart",19,"Bundesliga",1,"201718#"
"1922","Jacob Bruun Larsen","dk DEN","MF,DF","Stuttgart",18,"Bundesliga",0,"201718#"
"1923","Mario Gómez","de GER","FW","Stuttgart",32,"Bundesliga",8,"201718#"
"1924","Simon Terodde","de GER","FW","Stuttgart",29,"Bundesliga",2,"201718#"
"1925","Erik Thommy","de GER","MF,FW","Stuttgart",22,"Bundesliga",2,"201718#"
"1926","Tammy Abraham","eng ENG","FW,MF","Swansea City",19,"Premier League",5,"201718#"
"1927","André Ayew","gh GHA","FW,MF","Swansea City",27,"Premier League",0,"201718#"
"1928","Jordan Ayew","gh GHA","FW,MF","Swansea City",25,"Premier League",7,"201718#"
"1929","Jonathan Rivierez","fr FRA","DF","Metz",28,"Ligue 1",0,"201718#"
"1930","Wilfried Bony","ci CIV","FW","Swansea City",28,"Premier League",2,"201718#"
"1931","Ben Watson","eng ENG","MF","Watford",32,"Premier League",0,"201718#"
"1932","Josh Cullen","ie IRL","FW,MF","West Ham",21,"Premier League",0,"201718#"
"1933","Loïc Puyo","fr FRA","MF","Angers",28,"Ligue 1",0,"201718#"
"1934","Elio Capradossi","it ITA","DF","Roma",21,"Serie A",0,"201718#"
"1935","Nathan Dyer","eng ENG","MF,FW","Swansea City",29,"Premier League",0,"201718#"
"1936","Leroy Fer","nl NED","MF","Swansea City",27,"Premier League",1,"201718#"
"1937","Nicolás Pareja","ar ARG","DF","Sevilla",33,"La Liga",0,"201718#"
"1938","Zinédine Machach","fr FRA","FW,MF","Toulouse",21,"Ligue 1",1,"201718#"
"1939","Svante Ingelsson","se SWE","MF","Udinese",19,"Serie A",1,"201718#"
"1940","Thiago Cionek","pl POL","DF","SPAL",31,"Serie A",1,"201718#"
"1941","Oliver McBurnie","sco SCO","FW","Swansea City",21,"Premier League",0,"201718#"
"1942","Guessouma Fofana","fr FRA","MF","Amiens",24,"Ligue 1",0,"201718#"
"1943","Luciano Narsingh","nl NED","FW,MF","Swansea City",26,"Premier League",1,"201718#"
"1944","Kyle Naughton","eng ENG","DF","Swansea City",28,"Premier League",0,"201718#"
"1945","Martin Olsson","se SWE","DF,MF","Swansea City",29,"Premier League",0,"201718#"
"1946","Connor Roberts","wal WAL","MF","Swansea City",21,"Premier League",0,"201718#"
"1947","Wayne Routledge","eng ENG","MF,FW","Swansea City",32,"Premier League",0,"201718#"
"1948","Ledian Memushaj","al ALB","MF","Benevento",30,"Serie A",0,"201718#"
"1949","Michael Krohn-Dehli","dk DEN","MF","La Coruña",34,"La Liga",0,"201718#"
"1950","Cristian Ansaldi","ar ARG","DF,MF","Torino",30,"Serie A",1,"201718#"
"1951","Antonio Barreca","it ITA","DF,MF","Torino",22,"Serie A",0,"201718#"
"1952","Gabriel Peñalba","ar ARG","MF","Las Palmas",32,"La Liga",0,"201718#"
"1953","Andrea Belotti","it ITA","FW","Torino",23,"Serie A",10,"201718#"
"1954","Álex Berenguer","es ESP","FW","Torino",22,"Serie A",1,"201718#"
"1955","Pablo Martinez","fr FRA","DF","Strasbourg",28,"Ligue 1",0,"201718#"
"1956","Lucas Boyé","ar ARG","FW,MF","Torino",21,"Serie A",0,"201718#"
"1957","Rolando","pt POR","DF","Marseille",31,"Ligue 1",1,"201718#"
"1958","Daniel Congré","fr FRA","DF","Montpellier",32,"Ligue 1",1,"201718#"
"1959","Lorenzo De Silvestri","it ITA","DF,MF","Torino",29,"Serie A",5,"201718#"
"1960","Simone Edera","it ITA","FW","Torino",20,"Serie A",1,"201718#"
"1961","Iago Falque","es ESP","FW","Torino",27,"Serie A",12,"201718#"
"1962","Michael Krohn-Dehli","dk DEN","MF,FW","Sevilla",34,"La Liga",1,"201718#"
"1963","Mehdi Tahrat","dz ALG","MF","Angers",27,"Ligue 1",0,"201718#"
"1964","Vanja Milinković-Savić","rs SRB","GK","Torino",20,"Serie A",0,"201718#"
"1965","Cristian Molinaro","it ITA","DF","Torino",34,"Serie A",0,"201718#"
"1966","Andrea Costa","it ITA","DF","Benevento",31,"Serie A",0,"201718#"
"1967","M'Baye Niang","sn SEN","FW","Torino",22,"Serie A",4,"201718#"
"1968","Samuel Gustafson","se SWE","MF,FW","Torino",22,"Serie A",0,"201718#"
"1969","Tomás Rincón","ve VEN","MF","Torino",29,"Serie A",1,"201718#"
"1970","Umar Sadiq","ng NGA","FW","Torino",20,"Serie A",0,"201718#"
"1971","Salvatore Sirigu","it ITA","GK","Torino",30,"Serie A",0,"201718#"
"1972","Mirko Valdifiori","it ITA","MF","Torino",31,"Serie A",0,"201718#"
"1973","Davide Zappacosta","it ITA","DF","Torino",25,"Serie A",0,"201718#"
"1974","Fabio Pisacane","it ITA","DF","Cagliari",31,"Serie A",0,"201718#"
"1975","Dele Alli","eng ENG","MF,FW","Tottenham",21,"Premier League",9,"201718#"
"1976","Serge Aurier","ci CIV","DF","Tottenham",24,"Premier League",2,"201718#"
"1977","Ben Davies","wal WAL","DF","Tottenham",24,"Premier League",2,"201718#"
"1978","Jan Morávek","cz CZE","MF","Augsburg",27,"Bundesliga",0,"201718#"
"1979","Noë Dussenne","be BEL","DF","Crotone",25,"Serie A",0,"201718#"
"1980","Christian Eriksen","dk DEN","MF,FW","Tottenham",25,"Premier League",10,"201718#"
"1981","Paulo Gazzaniga","ar ARG","GK","Tottenham",25,"Premier League",0,"201718#"
"1982","Vincent Janssen","nl NED","DF","Tottenham",23,"Premier League",0,"201718#"
"1983","Harry Kane","eng ENG","FW","Tottenham",24,"Premier League",30,"201718#"
"1984","Fernando Llorente","es ESP","FW,DF","Tottenham",32,"Premier League",1,"201718#"
"1985","Hugo Lloris","fr FRA","GK","Tottenham",30,"Premier League",0,"201718#"
"1986","Lucas Moura","br BRA","FW","Tottenham",24,"Premier League",0,"201718#"
"1987","Danny Rose","eng ENG","DF,MF","Tottenham",27,"Premier League",0,"201718#"
"1988","Samuel Souprayen","fr FRA","DF","Hellas Verona",28,"Serie A",0,"201718#"
"1989","Daniele Dessena","it ITA","MF,DF","Cagliari",30,"Serie A",0,"201718#"
"1990","Kieran Trippier","eng ENG","DF,MF","Tottenham",26,"Premier League",0,"201718#"
"1991","Aythami Artiles","es ESP","DF","Las Palmas",31,"La Liga",0,"201718#"
"1992","Michel Vorm","nl NED","GK","Tottenham",33,"Premier League",0,"201718#"
"1993","Kyle Walker-Peters","eng ENG","DF","Tottenham",20,"Premier League",0,"201718#"
"1994","Victor Wanyama","ke KEN","MF","Tottenham",26,"Premier League",1,"201718#"
"1995","Harry Winks","eng ENG","MF","Tottenham",21,"Premier League",0,"201718#"
"1996","Kelvin Amian","fr FRA","DF","Toulouse",19,"Ligue 1",1,"201718#"
"1997","Alexis Blin","fr FRA","MF","Toulouse",20,"Ligue 1",1,"201718#"
"1998","Alberto Aquilani","it ITA","MF","Las Palmas",33,"La Liga",0,"201718#"
"1999","Quentin Boisgard","fr FRA","MF,FW","Toulouse",20,"Ligue 1",0,"201718#"
"2000","Yannick Cahuzac","fr FRA","MF","Toulouse",32,"Ligue 1",0,"201718#"
"2001","Andy Delort","dz ALG","FW","Toulouse",25,"Ligue 1",5,"201718#"
"2002","Lars Lukas Mai","de GER","DF","Bayern Munich",17,"Bundesliga",0,"201718#"
"2003","Jimmy Durmaz","se SWE","MF,FW","Toulouse",28,"Ligue 1",3,"201718#"
"2004","Leandro Cabrera","uy URU","DF","Crotone",26,"Serie A",0,"201718#"
"2005","Max Gradel","ci CIV","FW,MF","Toulouse",29,"Ligue 1",8,"201718#"
"2006","Giannelli Imbula","cd COD","MF","Toulouse",24,"Ligue 1",1,"201718#"
"2007","Corentin Jean","fr FRA","MF,FW","Toulouse",22,"Ligue 1",1,"201718#"
"2008","Leandro Cabrera","uy URU","DF","Getafe",26,"La Liga",0,"201718#"
"2009","Alban Lafont","fr FRA","GK","Toulouse",18,"Ligue 1",0,"201718#"
"2010","Luca Mora","it ITA","MF","SPAL",29,"Serie A",0,"201718#"
"2011","Clément Michelin","fr FRA","DF,FW","Toulouse",20,"Ligue 1",0,"201718#"
"2012","François Moubandje","ch SUI","DF","Toulouse",27,"Ligue 1",0,"201718#"
"2013","Ibrahim Sangaré","ci CIV","MF","Toulouse",19,"Ligue 1",1,"201718#"
"2014","Yaya Sanogo","fr FRA","FW","Toulouse",24,"Ligue 1",6,"201718#"
"2015","Franco Zuculini","ar ARG","MF","Hellas Verona",26,"Serie A",0,"201718#"
"2016","Issiaga Sylla","gn GUI","DF,MF","Toulouse",23,"Ligue 1",1,"201718#"
"2017","Ola Toivonen","se SWE","FW,MF","Toulouse",31,"Ligue 1",0,"201718#"
"2018","Steeve Yago","bf BFA","DF","Toulouse",24,"Ligue 1",0,"201718#"
"2019","Rominigue Kouamé","ml MLI","DF,MF","Lille",20,"Ligue 1",0,"201718#"
"2020","François Bellugou","fr FRA","MF","Troyes",30,"Ligue 1",0,"201718#"
"2021","Chaouki Ben Saada","tn TUN","FW,MF","Troyes",33,"Ligue 1",0,"201718#"
"2022","Jérémy Cordoval","GPE","DF","Troyes",27,"Ligue 1",0,"201718#"
"2023","Stéphane Darbion","fr FRA","FW,MF","Troyes",33,"Ligue 1",3,"201718#"
"2024","Mathieu Deplagne","fr FRA","DF","Troyes",25,"Ligue 1",0,"201718#"
"2025","Emil Hallfreðsson","is ISL","MF","Udinese",33,"Serie A",0,"201718#"
"2026","Ernest Seka","gn GUI","DF","Strasbourg",30,"Ligue 1",1,"201718#"
"2027","Samuel Grandsir","fr FRA","FW,MF","Troyes",20,"Ligue 1",3,"201718#"
"2028","Khaled Adénon","bj BEN","DF","Amiens",32,"Ligue 1",0,"201718#"
"2029","Saîf-Eddine Khaoui","tn TUN","MF,FW","Troyes",22,"Ligue 1",5,"201718#"
"2030","Bryan Mbeumo","fr FRA","FW,MF","Troyes",17,"Ligue 1",0,"201718#"
"2031","Adama Niane","ml MLI","FW","Troyes",24,"Ligue 1",8,"201718#"
"2032","Benjamin Nivet","fr FRA","MF,FW","Troyes",40,"Ligue 1",2,"201718#"
"2033","Johann Obiang","ga GAB","DF","Troyes",24,"Ligue 1",0,"201718#"
"2034","Bryan Pelé","fr FRA","FW,MF","Troyes",25,"Ligue 1",2,"201718#"
"2035","Mamadou Samassa","ml MLI","GK","Troyes",27,"Ligue 1",0,"201718#"
"2036","Jonathan Tinhan","bj BEN","FW,MF","Troyes",28,"Ligue 1",0,"201718#"
"2037","Iván Ramis","es ESP","DF","Eibar",32,"La Liga",3,"201718#"
"2038","Aiden O'Neill","au AUS","MF","Burnley",19,"Premier League",0,"201718#"
"2039","Erwin Zelazny","fr FRA","GK","Troyes",25,"Ligue 1",0,"201718#"
"2040","Felipe","br BRA","DF","Hannover 96",30,"Bundesliga",0,"201718#"
"2041","Riad Bajić","ba BIH","FW,MF","Udinese",23,"Serie A",0,"201718#"
"2042","Valon Behrami","ch SUI","MF","Udinese",32,"Serie A",1,"201718#"
"2043","Albano Bizzarri","ar ARG","GK","Udinese",39,"Serie A",0,"201718#"
"2044","Gianluca Gaudino","de GER","MF","Chievo",20,"Serie A",0,"201718#"
"2045","Giovanni Crociata","it ITA","FW,MF","Crotone",19,"Serie A",1,"201718#"
"2046","Enzo Loiodice","fr FRA","MF","Dijon",16,"Ligue 1",0,"201718#"
"2047","Vasilije Janjicic","ch SUI","MF","Hamburger SV",18,"Bundesliga",0,"201718#"
"2048","Samuel Moutoussamy","cd COD","MF","Nantes",20,"Ligue 1",0,"201718#"
"2049","Kevin Lasagna","it ITA","FW,MF","Udinese",24,"Serie A",12,"201718#"
"2050","Maxi López","ar ARG","FW","Udinese",33,"Serie A",2,"201718#"
"2051","Ryder Matos","br BRA","MF","Udinese",24,"Serie A",0,"201718#"
"2052","Martin Cranie","eng ENG","DF,MF","Huddersfield",30,"Premier League",0,"201718#"
"2053","Stipe Perica","hr CRO","FW,MF","Udinese",22,"Serie A",1,"201718#"
"2054","Giuseppe Pezzella","it ITA","DF","Udinese",19,"Serie A",0,"201718#"
"2055","Simone Pontisso","it ITA","MF","Udinese",20,"Serie A",0,"201718#"
"2056","Simone Scuffet","it ITA","GK","Udinese",21,"Serie A",0,"201718#"
"2057","Jens Stryger Larsen","dk DEN","DF","Udinese",26,"Serie A",1,"201718#"
"2058","Cyril Théréau","fr FRA","FW","Udinese",34,"Serie A",2,"201718#"
"2059","Martín Mantovani","ar ARG","DF","Leganés",33,"La Liga",1,"201718#"
"2060","Silvan Widmer","ch SUI","DF,MF","Udinese",24,"Serie A",3,"201718#"
"2061","Francesco Zampano","it ITA","DF,MF","Udinese",23,"Serie A",0,"201718#"
"2062","João Cancelo","pt POR","MF","Valencia",23,"La Liga",0,"201718#"
"2063","Francis Coquelin","fr FRA","MF,DF","Valencia",26,"La Liga",1,"201718#"
"2064","Jaume Doménech","es ESP","GK","Valencia",26,"La Liga",0,"201718#"
"2065","Kouadio-Yves Dabila","ci CIV","DF","Lille",20,"Ligue 1",0,"201718#"
"2066","Nacho Gil","es ESP","MF,FW","Valencia",21,"La Liga",0,"201718#"
"2067","Gonçalo Guedes","pt POR","MF,FW","Valencia",20,"La Liga",5,"201718#"
"2068","Mattia Vitale","it ITA","MF","SPAL",19,"Serie A",0,"201718#"
"2069","Toni Lato","es ESP","DF","Valencia",19,"La Liga",0,"201718#"
"2070","Anthony Gonçalves","fr FRA","MF,FW","Strasbourg",31,"Ligue 1",0,"201718#"
"2071","Santi Mina","es ESP","FW","Valencia",21,"La Liga",12,"201718#"
"2072","Martín Montoya","es ESP","DF","Valencia",26,"La Liga",0,"201718#"
"2073","Andrea Raggi","it ITA","DF","Monaco",33,"Ligue 1",1,"201718#"
"2074","Neto","br BRA","GK","Valencia",28,"La Liga",0,"201718#"
"2075","Kader Mangane","sn SEN","DF","Strasbourg",34,"Ligue 1",1,"201718#"
"2076","Andreas Pereira","br BRA","MF,FW","Valencia",21,"La Liga",1,"201718#"
"2077","Rodrigo","es ESP","FW","Valencia",26,"La Liga",16,"201718#"
"2078","Jay Fulton","sco SCO","MF","Swansea City",23,"Premier League",0,"201718#"
"2079","Oswaldo Vizcarrondo","ve VEN","DF","Troyes",33,"Ligue 1",0,"201718#"
"2080","Nacho Vidal","es ESP","DF","Valencia",22,"La Liga",1,"201718#"
"2081","Luciano Vietto","ar ARG","FW","Valencia",23,"La Liga",2,"201718#"
"2082","Simone Zaza","it ITA","FW","Valencia",26,"La Liga",13,"201718#"
"2083","Sergio Asenjo","es ESP","GK","Villarreal",28,"La Liga",0,"201718#"
"2084","Carlos Bacca","co COL","FW","Villarreal",30,"La Liga",15,"201718#"
"2085","Cédric Bakambu","cd COD","FW","Villarreal",26,"La Liga",9,"201718#"
"2086","Mariano Barbosa","ar ARG","GK","Villarreal",33,"La Liga",0,"201718#"
"2087","Pau Torres","es ESP","DF,MF","Villarreal",20,"La Liga",0,"201718#"
"2088","Samu Castillejo","es ESP","MF,FW","Villarreal",22,"La Liga",6,"201718#"
"2089","Denis Cheryshev","ru RUS","MF,FW","Villarreal",26,"La Liga",2,"201718#"
"2090","Chuca","es ESP","MF","Villarreal",20,"La Liga",0,"201718#"
"2091","Jaume Costa","es ESP","DF","Villarreal",29,"La Liga",0,"201718#"
"2092","Salem Al-Dawsari","sa KSA","MF","Villarreal",25,"La Liga",0,"201718#"
"2093","Andrés Fernández","es ESP","GK","Villarreal",30,"La Liga",0,"201718#"
"2094","Pablo Fornals","es ESP","MF,FW","Villarreal",21,"La Liga",3,"201718#"
"2095","Javi Fuego","es ESP","MF","Villarreal",33,"La Liga",0,"201718#"
"2096","Mario Gaspar","es ESP","DF","Villarreal",26,"La Liga",2,"201718#"
"2097","Adrián Diéguez","es ESP","DF","Alavés",21,"La Liga",0,"201718#"
"2098","Mario González","es ESP","FW","Villarreal",21,"La Liga",0,"201718#"
"2099","Lorenzo Del Pinto","it ITA","MF","Benevento",27,"Serie A",0,"201718#"
"2100","Adrián Marín","es ESP","DF","Villarreal",20,"La Liga",0,"201718#"
"2101","Roger Martínez","co COL","FW","Villarreal",23,"La Liga",1,"201718#"
"2102","Alfred N'Diaye","sn SEN","DF,MF","Villarreal",27,"La Liga",0,"201718#"
"2103","Darío Poveda","es ESP","FW","Villarreal",20,"La Liga",0,"201718#"
"2104","Dani Raba","es ESP","MF,FW","Villarreal",21,"La Liga",2,"201718#"
"2105","Rodri","es ESP","MF","Villarreal",21,"La Liga",1,"201718#"
"2106","Fabio Lucioni","it ITA","DF","Benevento",29,"Serie A",0,"201718#"
"2107","Antonio Rukavina","rs SRB","DF","Villarreal",33,"La Liga",0,"201718#"
"2108","Nicola Sansone","it ITA","FW,MF","Villarreal",25,"La Liga",5,"201718#"
"2109","Domenico Maietta","it ITA","DF","Bologna",34,"Serie A",0,"201718#"
"2110","Niccolò Zanellato","it ITA","MF","Crotone",19,"Serie A",0,"201718#"
"2111","Nicolás Spolli","ar ARG","DF","Genoa",34,"Serie A",0,"201718#"
"2112","Simone Calvano","it ITA","MF","Hellas Verona",24,"Serie A",0,"201718#"
"2113","Enes Ünal","tr TUR","FW","Villarreal",20,"La Liga",5,"201718#"
"2114","Nordin Amrabat","ma MAR","FW","Watford",30,"Premier League",0,"201718#"
"2115","Anthony Walongwa","cd COD","DF","Nantes",23,"Ligue 1",0,"201718#"
"2116","Étienne Capoue","fr FRA","MF","Watford",29,"Premier League",1,"201718#"
"2117","André Carrillo","pe PER","FW,MF","Watford",26,"Premier League",1,"201718#"
"2118","Michele Cremonesi","it ITA","DF","SPAL",29,"Serie A",0,"201718#"
"2119","Nathaniel Chalobah","eng ENG","MF","Watford",22,"Premier League",0,"201718#"
"2120","Toni Moya","es ESP","DF","Atlético Madrid",19,"La Liga",0,"201718#"
"2121","Troy Deeney","eng ENG","FW","Watford",29,"Premier League",5,"201718#"
"2122","Gerard Deulofeu","es ESP","FW,MF","Watford",23,"Premier League",1,"201718#"
"2123","Mehdi Léris","fr FRA","MF,FW","Chievo",19,"Serie A",0,"201718#"
"2124","Kiko Femenía","es ESP","DF,MF","Watford",26,"Premier League",1,"201718#"
"2125","Heurelho Gomes","br BRA","GK","Watford",36,"Premier League",0,"201718#"
"2126","Andre Gray","eng ENG","FW","Watford",26,"Premier League",5,"201718#"
"2127","Imanol Sarriegi","es ESP","MF,FW","Eibar",22,"La Liga",0,"201718#"
"2128","Daryl Janmaat","nl NED","DF","Watford",28,"Premier League",3,"201718#"
"2129","Sauli Väisänen","fi FIN","DF","SPAL",23,"Serie A",0,"201718#"
"2130","Yoann Salmier","GYF","DF","Strasbourg",24,"Ligue 1",0,"201718#"
"2131","Orestis Karnezis","gr GRE","GK","Watford",32,"Premier League",0,"201718#"
"2132","Dodi Lukebakio","be BEL","MF","Watford",19,"Premier League",0,"201718#"
"2133","Dario Dainelli","it ITA","DF","Chievo",38,"Serie A",0,"201718#"
"2134","Stefano Okaka","it ITA","FW,MF","Watford",27,"Premier League",1,"201718#"
"2135","Roberto Pereyra","ar ARG","MF,FW","Watford",26,"Premier League",5,"201718#"
"2136","Nicolás Burdisso","ar ARG","DF","Torino",36,"Serie A",0,"201718#"
"2137","Richarlison","br BRA","FW,MF","Watford",20,"Premier League",5,"201718#"
"2138","Jerome Sinclair","eng ENG","MF,FW","Watford",20,"Premier League",0,"201718#"
"2139","Emiliano Moretti","it ITA","DF","Torino",36,"Serie A",0,"201718#"
"2140","Nikolas Nartey","dk DEN","MF","Köln",17,"Bundesliga",0,"201718#"
"2141","Marvin Zeegelaar","nl NED","DF,MF","Watford",26,"Premier League",0,"201718#"
"2142","Ludwig Augustinsson","se SWE","DF,MF","Werder Bremen",23,"Bundesliga",1,"201718#"
"2143","Philipp Bargfrede","de GER","MF","Werder Bremen",28,"Bundesliga",1,"201718#"
"2144","Fin Bartels","de GER","FW","Werder Bremen",30,"Bundesliga",2,"201718#"
"2145","Robert Bauer","de GER","DF","Werder Bremen",22,"Bundesliga",0,"201718#"
"2146","Ishak Belfodil","dz ALG","FW","Werder Bremen",25,"Bundesliga",4,"201718#"
"2147","Alessandro Gamberini","it ITA","DF","Chievo",35,"Serie A",0,"201718#"
"2148","Edu Expósito","es ESP","MF","La Coruña",20,"La Liga",0,"201718#"
"2149","Johannes Eggestein","de GER","FW,MF","Werder Bremen",19,"Bundesliga",0,"201718#"
"2150","Sulley Muntari","gh GHA","MF","La Coruña",32,"La Liga",0,"201718#"
"2151","Cédric Varrault","fr FRA","DF","Dijon",37,"Ligue 1",1,"201718#"
"2152","Ulisses Garcia","ch SUI","DF","Werder Bremen",21,"Bundesliga",0,"201718#"
"2153","Theodor Gebre Selassie","cz CZE","DF,MF","Werder Bremen",30,"Bundesliga",3,"201718#"
"2154","Jon Guridi","es ESP","MF,FW","Real Sociedad",22,"La Liga",0,"201718#"
"2155","Aron Jóhannsson","us USA","MF,FW","Werder Bremen",26,"Bundesliga",1,"201718#"
"2156","Florian Kainz","at AUT","MF,FW","Werder Bremen",24,"Bundesliga",3,"201718#"
"2157","Ole Käuper","de GER","MF","Werder Bremen",20,"Bundesliga",0,"201718#"
"2158","Max Kruse","de GER","FW","Werder Bremen",29,"Bundesliga",6,"201718#"
"2159","Yann Aurel Bisseck","de GER","DF,FW","Köln",16,"Bundesliga",0,"201718#"
"2160","Jérémy Morel","mg MAD","DF","Lyon",33,"Ligue 1",0,"201718#"
"2161","Milot Rashica","xk KVX","FW,MF","Werder Bremen",21,"Bundesliga",1,"201718#"
"2162","Santiago Gentiletti","ar ARG","DF","Genoa",32,"Serie A",0,"201718#"
"2163","Gareth Barry","eng ENG","MF","West Brom",36,"Premier League",1,"201718#"
"2164","Nicolas Janvier","fr FRA","MF,FW","Rennes",18,"Ligue 1",0,"201718#"
"2165","Oliver Burke","sco SCO","FW,MF","West Brom",20,"Premier League",0,"201718#"
"2166","Nacer Chadli","be BEL","FW,MF","West Brom",27,"Premier League",1,"201718#"
"2167","Stephan Ambrosius","de GER","DF","Hamburger SV",18,"Bundesliga",0,"201718#"
"2168","Deian Boldor","ro ROU","DF","Hellas Verona",22,"Serie A",0,"201718#"
"2169","Ramiro Guerra","uy URU","MF","Villarreal",20,"La Liga",0,"201718#"
"2170","Ben Foster","eng ENG","GK","West Brom",34,"Premier League",0,"201718#"
"2171","Kieran Gibbs","eng ENG","DF","West Brom",27,"Premier League",0,"201718#"
"2172","Florent Balmont","fr FRA","MF","Dijon",37,"Ligue 1",1,"201718#"
"2173","Grzegorz Krychowiak","pl POL","MF","West Brom",27,"Premier League",0,"201718#"
"2174","Jake Livermore","eng ENG","MF","West Brom",27,"Premier League",2,"201718#"
"2175","Gerzino Nyamsi","fr FRA","DF","Rennes",20,"Ligue 1",0,"201718#"
"2176","James McClean","ie IRL","MF,FW","West Brom",28,"Premier League",1,"201718#"
"2177","Dean Whitehead","eng ENG","MF","Huddersfield",35,"Premier League",0,"201718#"
"2178","Boaz Myhill","wal WAL","GK","West Brom",34,"Premier League",0,"201718#"
"2179","Allan Nyom","cm CMR","DF","West Brom",29,"Premier League",0,"201718#"
"2180","Matt Phillips","sco SCO","MF,FW","West Brom",26,"Premier League",2,"201718#"
"2181","Hal Robson-Kanu","wal WAL","FW,MF","West Brom",28,"Premier League",2,"201718#"
"2182","Salomón Rondón","ve VEN","FW","West Brom",27,"Premier League",7,"201718#"
"2183","Daniel Sturridge","eng ENG","FW","West Brom",27,"Premier League",0,"201718#"
"2184","Claudio Yacob","ar ARG","MF","West Brom",30,"Premier League",0,"201718#"
"2185","Adrián","es ESP","GK","West Ham",30,"Premier League",0,"201718#"
"2186","Michail Antonio","eng ENG","FW,MF","West Ham",27,"Premier League",3,"201718#"
"2187","André Ayew","gh GHA","FW,MF","West Ham",27,"Premier League",3,"201718#"
"2188","Sam Byram","eng ENG","DF","West Ham",23,"Premier League",0,"201718#"
"2189","Andy Carroll","eng ENG","FW,MF","West Ham",28,"Premier League",3,"201718#"
"2190","Daniele Bonera","it ITA","DF","Villarreal",36,"La Liga",0,"201718#"
"2191","Aaron Cresswell","eng ENG","DF","West Ham",27,"Premier League",1,"201718#"
"2192","Davide Biondini","it ITA","MF,FW","Sassuolo",34,"Serie A",0,"201718#"
"2193","Patrice Evra","fr FRA","DF","West Ham",36,"Premier League",0,"201718#"
"2194","Zaydou Youssouf","fr FRA","FW","Bordeaux",18,"Ligue 1",0,"201718#"
