"","home","away","HG","AG"
"134","Greuther Fürth","Hoffenheim",3,6
"135","Greuther Fürth","Köln",1,1
"136","Greuther Fürth","Leverkusen",1,4
"137","Greuther Fürth","M'Gladbach",0,2
"138","Greuther Fürth","Mainz 05",2,1
"139","Greuther Fürth","RB Leipzig",1,6
"140","Greuther Fürth","Stuttgart",0,0
"141","Greuther Fürth","Union Berlin",1,0
"142","Greuther Fürth","Wolfsburg",0,2
"143","Hertha BSC","Arminia",2,0
"144","Hertha BSC","Augsburg",3,2
"145","Hertha BSC","Bayern Munich",1,5
"146","Hertha BSC","Bochum",1,1
"147","Hertha BSC","Dortmund",3,2
"148","Hertha BSC","Eint Frankfurt",1,4
"149","Hertha BSC","Freiburg",4,2
"150","Hertha BSC","Greuther Fürth",2,1
"151","Hertha BSC","Hoffenheim",3,3
"152","Hertha BSC","Köln",1,3
"153","Hertha BSC","Leverkusen",4,1
"154","Hertha BSC","M'Gladbach",3,2
"155","Hertha BSC","Mainz 05",1,2
"156","Hertha BSC","RB Leipzig",1,9
"157","Hertha BSC","Schalke 04",3,0
"158","Hertha BSC","Stuttgart",2,0
"159","Hertha BSC","Union Berlin",1,4
"160","Hertha BSC","Werder Bremen",1,4
"161","Hertha BSC","Wolfsburg",1,2
"162","Hoffenheim","Arminia",2,0
"163","Hoffenheim","Augsburg",3,1
"164","Hoffenheim","Bayern Munich",1,1
"165","Hoffenheim","Bochum",1,2
"166","Hoffenheim","Dortmund",2,3
"167","Hoffenheim","Eint Frankfurt",4,5
"168","Hoffenheim","Freiburg",4,7
"169","Hoffenheim","Greuther Fürth",0,0
"170","Hoffenheim","Hertha BSC",4,1
"171","Hoffenheim","Köln",8,0
"172","Hoffenheim","Leverkusen",2,4
"173","Hoffenheim","M'Gladbach",4,3
"174","Hoffenheim","Mainz 05",1,4
"175","Hoffenheim","RB Leipzig",2,0
"176","Hoffenheim","Schalke 04",4,2
"177","Hoffenheim","Stuttgart",2,1
"178","Hoffenheim","Union Berlin",2,2
"179","Hoffenheim","Werder Bremen",4,0
"180","Hoffenheim","Wolfsburg",5,2
"181","Köln","Arminia",6,2
"182","Köln","Augsburg",0,3
"183","Köln","Bayern Munich",0,4
"184","Köln","Bochum",2,1
"185","Köln","Dortmund",3,3
"186","Köln","Eint Frankfurt",1,0
"187","Köln","Freiburg",2,4
"188","Köln","Greuther Fürth",3,1
"189","Köln","Hertha BSC",3,1
"190","Köln","Hoffenheim",0,1
"191","Köln","Leverkusen",2,2
"192","Köln","M'Gladbach",4,1
"193","Köln","Mainz 05",5,5
"194","Köln","RB Leipzig",3,2
"195","Köln","Schalke 04",1,0
"196","Köln","Stuttgart",1,1
"197","Köln","Union Berlin",2,2
"198","Köln","Werder Bremen",1,1
"199","Köln","Wolfsburg",0,1
"200","Leverkusen","Arminia",4,2
"201","Leverkusen","Augsburg",5,1
"202","Leverkusen","Bayern Munich",1,5
"203","Leverkusen","Bochum",1,0
"204","Leverkusen","Dortmund",5,5
"205","Leverkusen","Eint Frankfurt",5,1
"206","Leverkusen","Freiburg",3,3
"207","Leverkusen","Greuther Fürth",7,1
"208","Leverkusen","Hertha BSC",2,1
"209","Leverkusen","Hoffenheim",2,2
"210","Leverkusen","Köln",3,1
"211","Leverkusen","M'Gladbach",4,0
"212","Leverkusen","Mainz 05",3,2
